model,run,method,rel_l1_thresh,sample_count,elapsed_seconds,images_per_second,speedup_vs_full,fid,delta_fid,sfid,delta_sfid,inception_score,delta_inception_score,precision,delta_precision,recall,delta_recall,aggregate_mse,psnr_from_aggregate_mse,mean_per_image_psnr,median_per_image_psnr,mean_ssim,median_ssim,mean_lpips,median_lpips,exact_pair_count,nan_psnr,nan_ssim,nan_lpips,inf_psnr,inf_ssim,inf_lpips
JiT,full,instrumented_full,,1000,320.455447732,3.120558589586874,1.0,38.906813081276766,,201.04754895072028,,258.90887451171875,,0.816,,0.8084,,,,,,,,,,,,,,,,
JiT,t0p01,dicache,0.01,1000,220.053235644,4.544354901546598,1.4562632846282235,38.915210864265646,0.008397782988879499,200.81219613155838,-0.23535281916190343,258.0685119628906,-0.840362548828125,0.812,-0.0039999999999998925,0.8093,0.0009000000000000119,8.14441024875796e-06,50.891403582533414,51.23301181861521,51.32068576622262,0.9981732160449028,0.9982723295688629,0.0005062410322279902,0.0003985513612860814,0,0,0,0,0,0,0
JiT,t0p02,dicache,0.02,1000,233.114113305,4.289744562533749,1.374672014442665,38.915210864265646,0.008397782988879499,200.81219613155838,-0.23535281916190343,258.0685119628906,-0.840362548828125,0.812,-0.0039999999999998925,0.8093,0.0009000000000000119,8.14441024875796e-06,50.891403582533414,51.23301181861521,51.32068576622262,0.9981732160449028,0.9982723295688629,0.0005062410322279902,0.0003985513612860814,0,0,0,0,0,0,0
JiT,t0p04,dicache,0.04,1000,181.257132609,5.517024271575323,1.7679604830959812,38.943269683398285,0.036456602121518245,200.3985898626064,-0.6489590881138838,259.51226806640625,0.6033935546875,0.816,0.0,0.8083,-9.999999999998899e-05,2.2237330321674382e-05,46.52917352708655,47.53582143015195,47.9941129269984,0.9967880405783653,0.997375100851059,0.0016979714074113871,0.001107462972868234,0,0,0,0,0,0,0
JiT,t0p08,dicache,0.08,1000,156.063821222,6.407634980163052,2.0533615364713755,39.00213106898855,0.09531798771178046,199.69524245144225,-1.3523064992780292,257.6138610839844,-1.295013427734375,0.807,-0.008999999999999897,0.8075,-0.0009000000000000119,5.133230491852045e-05,42.89609234649804,43.501864192254864,43.52905204497495,0.9941507487893104,0.9955798089504242,0.005267680124263279,0.003836951102130115,0,0,0,0,0,0,0
JiT,t0p16,dicache,0.16,1000,136.453963209,7.328478971829846,2.34845101011228,39.18360434333522,0.2767912620584525,198.06070122942333,-2.9868477212969538,254.72877502441406,-4.1800994873046875,0.802,-0.013999999999999901,0.8036,-0.0048000000000000265,0.00029800127265571186,35.25781881205044,35.60077078113984,35.41379115897736,0.9765458872318268,0.9827030301094055,0.023072630566428415,0.01954725943505764,0,0,0,0,0,0,0
JiT,t0p32,dicache,0.32,1000,126.171930297,7.925693120855559,2.5398315376302003,40.289648715444685,1.3828356341679182,194.35111631732866,-6.696432633391623,235.8330841064453,-23.075790405273438,0.766,-0.04999999999999993,0.7931,-0.01529999999999998,0.0016861625641117323,27.731005570581093,28.141894591223682,27.94888919187786,0.909703943669796,0.9236988127231598,0.08750950134312734,0.07993379980325699,0,0,0,0,0,0,0
JiT,t0p64,dicache,0.64,1000,116.061798328,8.616099478089417,2.7610760159545955,45.510758188487046,6.603945107210279,191.34290870186737,-9.704640248852911,169.71401977539062,-89.19485473632812,0.681,-0.1349999999999999,0.7674,-0.041000000000000036,0.006991318181040288,21.554409322973186,21.82962703494401,21.58539836191494,0.7790678392350674,0.7877490818500519,0.2177853227555752,0.21164820343255997,0,0,0,0,0,0,0
PixelGen,full,instrumented_full,,1000,1079.671998293,0.9262072199529449,1.0,38.45394374046498,,202.92721271995651,,279.8703308105469,,0.808,,0.825,,,,,,,,,,,,,,,,
PixelGen,t0p01,dicache,0.01,1000,683.914293946,1.4621715160100999,1.5786656425377295,38.53266904107187,0.07872530060689087,202.48984066000878,-0.43737205994773376,281.0082092285156,1.13787841796875,0.809,0.0010000000000000009,0.8246,-0.00039999999999995595,2.820511671152657e-05,45.496720988434944,49.32515595369305,50.59453606508892,0.9974888972640038,0.9985096454620361,0.002568520089160302,0.0006031154771335423,0,0,0,0,0,0,0
PixelGen,t0p02,dicache,0.02,1000,684.096349294,1.4617823951728706,1.5782455196658207,38.530172675858466,0.07622893539348752,202.4784079132279,-0.4488048067286172,281.1316223144531,1.26129150390625,0.812,0.0040000000000000036,0.8247,-0.00029999999999996696,2.8380183815595455e-05,45.469847959877676,49.2429947281058,50.49045879842804,0.9974648001194,0.9984909296035767,0.002593002111374517,0.0006347219168674201,0,0,0,0,0,0,0
PixelGen,t0p04,dicache,0.04,1000,524.238281607,1.9075295244265644,2.0595062134405246,38.63509229969168,0.18114855922669904,202.10873157357207,-0.8184811463844426,277.31298828125,-2.557342529296875,0.795,-0.013000000000000012,0.8223,-0.0026999999999999247,0.00018798434032315953,37.25878327302814,42.57389304545493,43.561824553257644,0.9903817800283432,0.9964131712913513,0.01476335787717835,0.0035926515702158213,0,0,0,0,0,0,0
PixelGen,t0p08,dicache,0.08,1000,416.768239117,2.399415085273013,2.5905812798510826,38.58811393073415,0.13417019026917387,200.53708151615524,-2.3901312038012748,273.0484313964844,-6.8218994140625,0.802,-0.006000000000000005,0.8222,-0.0027999999999999137,0.0007188366687149687,31.433697771190108,34.75945582874155,34.9072396257581,0.9710825748443603,0.9823339283466339,0.04329173974704463,0.024663415737450123,0,0,0,0,0,0,0
PixelGen,t0p16,dicache,0.16,1000,355.052405476,2.816485635858044,3.040880674630385,39.01968245939781,0.5657387189328347,197.52415618751945,-5.403056532437063,266.8529052734375,-13.017425537109375,0.792,-0.016000000000000014,0.8197,-0.005299999999999971,0.0026315711324848123,25.797848863238396,29.23208696339484,29.537769484365374,0.931639946937561,0.9433600902557373,0.09203427933435887,0.07060170918703079,0,0,0,0,0,0,0
PixelGen,t0p32,dicache,0.32,1000,330.063660914,3.029718561658188,3.271102293730889,39.87205803097072,1.4181142905057413,191.85076103091887,-11.07645168903764,239.22146606445312,-40.64886474609375,0.759,-0.049000000000000044,0.8115,-0.013499999999999956,0.009646274205259207,20.15640396971632,23.955349422494145,24.467119592172168,0.8259588813483715,0.8332617282867432,0.194043806059286,0.17698101699352264,0,0,0,0,0,0,0
PixelGen,t0p64,dicache,0.64,1000,298.47864538,3.350323433446561,3.6172503963171123,46.27490731761793,7.820963577152952,184.76522161727053,-18.161991102685988,159.37904357910156,-120.49128723144531,0.64,-0.16800000000000004,0.7661,-0.05889999999999995,0.011741827634519895,19.302642991862818,19.818854847893203,19.716066910514733,0.6409631774276495,0.6411081850528717,0.34998393516987564,0.3458236902952194,0,0,0,0,0,0,0
