model,run,method,rel_l1_thresh,trajectory_count,total_stream_calls,direct_full_count,resumed_full_count,reuse_count,reuse_ratio,dcta_count,dcta_usage_ratio,probe_count,full_ratio,full_refresh_ratio,max_refresh_gap,mean_refresh_gap,p95_refresh_gap,mean_gamma,p95_gamma,gamma_value_count,gamma_nonfinite_count,zero_order_fallback_count,max_cache_bytes,max_cache_gib,max_peak_memory_allocated,max_peak_memory_reserved,component_host_time_total_ms
JiT,full,instrumented_full,,32,6336,6336,0,0,0.0,0,0.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,1423676928,1730150400,839466.4293321548
JiT,t0p01,dicache,0.01,32,6336,1344,2496,2496,0.3939393939393939,2496,1.0,4992,0.6060606060606061,0.6060606060606061,2.0,1.6610169491525424,2.0,1.003344936009783,1.0115831038355827,2496,0,0,251658240,0.234375,1678092800,1986002944,530756.2498180196
JiT,t0p02,dicache,0.02,32,6336,1344,2496,2496,0.3939393939393939,2496,1.0,4992,0.6060606060606061,0.6060606060606061,2.0,1.6610169491525424,2.0,1.003344936009783,1.0115831038355827,2496,0,0,251658240,0.234375,1678092800,1986002944,548245.2892594738
JiT,t0p04,dicache,0.04,32,6336,1344,1585,3407,0.5377209595959596,3407,1.0,4992,0.4622790404040404,0.4622790404040404,4.0,2.189179755671902,4.0,1.2932449818217302,1.5,3407,0,0,251658240,0.234375,1679272448,1986002944,415496.0412995424
JiT,t0p08,dicache,0.08,32,6336,1344,935,4057,0.6403093434343434,4057,1.0,4992,0.3596906565656566,0.3596906565656566,6.0,2.8316027088036115,6.0,1.3456133938728956,1.5,4057,0,0,251658240,0.234375,1678480896,1986002944,342194.3437074078
JiT,t0p16,dicache,0.16,32,6336,1344,512,4480,0.7070707070707071,4480,1.0,4992,0.29292929292929293,0.29292929292929293,10.0,3.5,10.0,1.3660087852871843,1.5,4480,0,0,251658240,0.234375,1679267328,1986002944,288512.5339819351
JiT,t0p32,dicache,0.32,32,6336,1344,257,4735,0.7473169191919192,4735,1.0,4992,0.25268308080808083,0.25268308080808083,20.0,4.08067664281067,18.0,1.3742495892795614,1.5,4735,0,0,251658240,0.234375,1677568512,1986002944,257216.07428358402
JiT,t0p64,dicache,0.64,32,6336,1344,128,4864,0.7676767676767676,4864,1.0,4992,0.23232323232323232,0.23232323232323232,34.0,4.454545454545454,29.45,1.3714728119145883,1.5,4864,0,0,251658240,0.234375,1678087680,1986002944,239107.08813287783
PixelGen,full,instrumented_full,,252,24948,24948,0,0,0.0,0,0.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,5972339200,6257901568,1435369.9187728344
PixelGen,t0p01,dicache,0.01,252,24948,5292,9894,9762,0.3912938912938913,9762,1.0,19656,0.6087061087061088,0.6087061087061088,2.0,1.6536761751707514,2.0,1.00394739129704,1.0160562381148337,9762,0,0,47185920,0.0439453125,6023064064,6383730688,914255.9174618218
PixelGen,t0p02,dicache,0.02,252,24948,5292,9828,9828,0.3939393939393939,9828,1.0,19656,0.6060606060606061,0.6060606060606061,2.0,1.6610169491525424,2.0,1.0041365222834842,1.017446487545967,9828,0,0,47185920,0.0439453125,6022018048,6327107584,908014.2664416926
PixelGen,t0p04,dicache,0.04,252,24948,5292,6016,13640,0.54673721340388,13640,1.0,19656,0.4532627865961199,0.4532627865961199,4.0,2.2337192474674383,4.0,1.2890387759879887,1.5,13640,0,0,47185920,0.0439453125,6022542336,6379536384,690301.5047454974
PixelGen,t0p08,dicache,0.08,252,24948,5292,3427,16229,0.6505130671797339,16229,1.0,19656,0.34948693282026616,0.34948693282026616,8.0,2.916735561592063,8.0,1.3422171177444797,1.5,16229,0,0,47185920,0.0439453125,6024377344,6369050624,544963.1617491832
PixelGen,t0p16,dicache,0.16,252,24948,5292,1789,17867,0.7161696328362995,17867,1.0,19656,0.28383036716370047,0.28383036716370047,16.0,3.6163420705813443,14.0,1.3676008947375853,1.5,17867,0,0,47185920,0.0439453125,6024771072,6341787648,460173.32547414117
PixelGen,t0p32,dicache,0.32,252,24948,5292,978,18678,0.7486772486772487,18678,1.0,19656,0.25132275132275134,0.25132275132275134,32.0,4.103688933200399,24.999999999999986,1.384396375616966,1.5,18678,0,0,47185920,0.0439453125,6025030144,6352273408,423766.9200876262
PixelGen,t0p64,dicache,0.64,252,24948,5292,504,19152,0.7676767676767676,19152,1.0,19656,0.23232323232323232,0.23232323232323232,56.0,4.454545454545454,27.722499999999982,1.4078170263901688,1.5,19152,0,0,47185920,0.0439453125,6025295360,6333399040,384078.9581874851
