model,run,method,max_order,base_threshold,decay_rate,min_taylor_steps,max_taylor_steps,trajectory_count,total_nfe,full_nfe,taylor_nfe,full_ratio,taylor_ratio,network_forward_count,verified_taylor_nfe,unverified_taylor_nfe,verification_block_calls,verification_pass_count,verification_fail_count,verification_pass_rate,full_due_first_enhance,full_due_max_taylor,full_due_previous_error,mean_max_speculative_span,mean_max_forecast_horizon,mean_max_available_order,mean_cache_bytes,mean_cache_gib,mean_cache_tensor_count,mean_peak_memory_allocated,mean_peak_memory_reserved,verification_overhead_time_ms,verification_overhead_ratio_within_measured_components
JiT,full,instrumented_full,4,0.3,0.05,3,8,32,3168,3168,0,1.0,0.0,6336,0,0,0,0,0,0.0,0,0,0,0.0,0.0,-1.0,0.0,0.0,0.0,1410820224.0,1671561216.0,0.0,0.0
JiT,speca_ref,speca,4,0.3,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721818752.0,5426118656.0,24023.057713522576,0.6084500266359774
JiT,order1,speca,1,0.3,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,1.0,1277952000.0,1.190185546875,96.0,2801788032.0,3267362816.0,19479.873951990157,0.6892685997259729
JiT,order2,speca,2,0.3,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,2.0,1916928000.0,1.7852783203125,144.0,3441638048.0,3990945792.0,22246.936964569613,0.666709628739172
JiT,order3,speca,3,0.3,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,3.0,2555904000.0,2.38037109375,192.0,4081892480.0,4674551808.0,23783.196806558408,0.6403770618032338
JiT,threshold0p1,speca,4,0.1,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721591424.0,5426118656.0,26209.799830801785,0.6314177220668248
JiT,threshold0p2,speca,4,0.2,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721818752.0,5426118656.0,26413.526573218405,0.6297882561425672
JiT,threshold0p4,speca,4,0.4,0.05,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721818752.0,5426118656.0,26518.738449318334,0.6353531815300983
JiT,decay0p01,speca,4,0.3,0.01,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721591424.0,5426118656.0,26076.537668472156,0.6293920283493089
JiT,decay0p1,speca,4,0.3,0.1,3,8,32,3168,672,2496,0.21212121212121213,0.7878787878787878,6336,608,1888,1216,0,608,0.0,64,0,608,4.0,4.0,4.0,3194880000.0,2.9754638671875,240.0,4721591424.0,5426118656.0,25808.360058348626,0.6269708725990712
JiT,minstep2,speca,4,0.3,0.05,2,8,32,3168,832,2336,0.26262626262626265,0.7373737373737373,6336,768,1568,1536,0,768,0.0,64,0,768,3.0,3.0,4.0,3194880000.0,2.9754638671875,240.0,4721965248.0,5314183168.0,34409.19696027413,0.6835552362580758
